flight_id,time,xyz_0_,xyz_1_,xyz_2_,type
68,1970-01-01 00:00:00.368288,-0.0685003995895385,-0.0738749802112579,0.1334193348884582,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368308,-0.0879379510879516,-0.070368580520153,0.1100062355399131,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368328,-0.1185267865657806,-0.0559308566153049,0.0845091715455055,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368346,-0.1440374553203582,-0.0425088368356227,0.0644850581884384,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368368,-0.1768752485513687,-0.0200421959161758,0.0375555343925952,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368388,-0.1830496490001678,-0.0016695868689566,0.0138344308361411,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368406,-0.1974387317895889,0.00240880693309,-0.0043425383046269,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368428,-0.2266695499420166,0.0001061847433447,-0.0305429436266422,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368448,-0.244896575808525,-0.0071107191033661,-0.0470466427505016,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368468,-0.2585572004318237,-0.0009839633712545,-0.0603112988173961,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368486,-0.2759450376033783,-0.0068509983830153,-0.0721731185913086,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368508,-0.3264747262001037,-0.0102822948247194,-0.0799873098731041,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368528,-0.3504127860069275,-0.0167881287634372,-0.0920515060424804,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368546,-0.3627928793430328,-0.0222181808203458,-0.0941320061683654,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368568,-0.4141689538955688,-0.031107947230339,-0.0945476070046424,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368588,-0.4047154784202575,-0.0170129798352718,-0.0884300768375396,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368608,-0.3179852366447449,0.0071203694678843,-0.0861550942063331,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368626,-0.3123617470264435,0.0398386605083942,-0.0710998773574829,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368648,-0.3025114834308624,0.0978039279580116,-0.0562521070241928,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368668,-0.2331524044275283,0.1251489669084549,-0.0418994426727294,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368686,-0.1781772226095199,0.151181161403656,-0.0344408638775348,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368708,-0.1466085761785507,0.1756033450365066,-0.0169024318456649,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368728,-0.1088757514953613,0.178321897983551,-0.0034748187754303,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368748,-0.0747501775622367,0.1698958873748779,0.0086268605664372,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368766,-0.0642509907484054,0.1675627082586288,0.0179016701877117,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368788,-0.044458519667387,0.162863403558731,0.0322636626660823,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368808,0.0241789724677801,0.1428538113832473,0.0388595648109912,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368826,0.0124681936576962,0.1269715428352356,0.0504495091736316,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368848,0.0234919395297765,0.0940720215439796,0.0546559505164623,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368868,0.0412281341850757,0.0741805657744407,0.0593388192355632,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368888,0.1101129576563835,0.0606000199913978,0.0591994486749172,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368906,0.1460807919502258,0.0513519346714019,0.0594623424112796,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368928,0.1295026093721389,0.0309900045394897,0.05678042024374,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368948,0.0991223827004432,0.017069011926651,0.0518015474081039,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368966,0.1118876114487648,0.0048534586094319,0.0510458722710609,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.368988,0.1327551901340484,-0.0024570510722696,0.0405391901731491,vehicle_angular_velocity_0
68,1970-01-01 00:00:00.369008,0.0565862879157066,-0.0072184689342975,0.033168401569128,vehicle_angular_velocity_0
