flight_id,time,lat,lon,alt
68,1970-01-01 00:00:00.409865,40.1394766,32.5446211,0.1030166999999999
68,1970-01-01 00:00:00.410264,40.1395126,32.544585999999995,0.1031666
68,1970-01-01 00:00:00.410856,40.1395724,32.5445459,0.1033934
68,1970-01-01 00:00:00.411265,40.1396149,32.5445267,0.1035415
68,1970-01-01 00:00:00.411862,40.1396818,32.5445089,0.1037266999999999
68,1970-01-01 00:00:00.41226,40.1397277,32.5445068,0.1038373
68,1970-01-01 00:00:00.412865,40.1397971,32.544513,0.1039817
68,1970-01-01 00:00:00.413264,40.1398444,32.5445211,0.1040278999999999
68,1970-01-01 00:00:00.41386,40.1399174,32.5445344,0.1040518
68,1970-01-01 00:00:00.41426,40.1399662,32.5445408,0.1040717999999999
68,1970-01-01 00:00:00.414864,40.1400373,32.5445371,0.1041460999999999
68,1970-01-01 00:00:00.41526,40.140081,32.5445211,0.1042385
68,1970-01-01 00:00:00.415864,40.1401411,32.5444804,0.1043944
68,1970-01-01 00:00:00.416264,40.1401786,32.5444464,0.1044823
68,1970-01-01 00:00:00.41686,40.1402316,32.5443895,0.1046078
68,1970-01-01 00:00:00.41726,40.1402636,32.5443469,0.1046957999999999
68,1970-01-01 00:00:00.417865,40.1403055,32.5442742,0.1048615
68,1970-01-01 00:00:00.418264,40.1403286,32.5442197,0.1049944
68,1970-01-01 00:00:00.41886,40.1403565,32.5441292,0.1052027
68,1970-01-01 00:00:00.419262,40.1403695,32.5440627,0.1053286
68,1970-01-01 00:00:00.41988,40.1403807,32.543956699999995,0.1055357
68,1970-01-01 00:00:00.420259,40.1403815,32.5438824,0.1056686
68,1970-01-01 00:00:00.420864,40.1403634,32.5437668,0.1059203
68,1970-01-01 00:00:00.421264,40.1403423,32.5436875,0.1060434
68,1970-01-01 00:00:00.421864,40.1402941,32.5435683,0.1062167
68,1970-01-01 00:00:00.422266,40.1402438,32.5434929,0.1063549999999999
68,1970-01-01 00:00:00.422866,40.14013,32.5434033,0.1066433
68,1970-01-01 00:00:00.423265,40.1400352,32.5433682,0.1068476999999999
68,1970-01-01 00:00:00.423864,40.1398796,32.5433673,0.1071496
68,1970-01-01 00:00:00.42427,40.1397775,32.5434071,0.1073693
68,1970-01-01 00:00:00.42486,40.1396508,32.5435351,0.1077035
68,1970-01-01 00:00:00.425275,40.1395908,32.543648,0.1078813
68,1970-01-01 00:00:00.425865,40.139547,32.5438304,0.1081524
68,1970-01-01 00:00:00.426264,40.1395535,32.543942099999995,0.1083408999999999
68,1970-01-01 00:00:00.426864,40.1395996,32.5440742,0.1085882
68,1970-01-01 00:00:00.42726,40.1396439,32.5441398,0.1087157
68,1970-01-01 00:00:00.42786,40.1397185,32.5442088,0.1088152999999999
68,1970-01-01 00:00:00.42826,40.1397714,32.544238199999995,0.1088354
68,1970-01-01 00:00:00.428864,40.1398527,32.5442624,0.1088211999999999
68,1970-01-01 00:00:00.429264,40.139906,32.544258,0.1088509
68,1970-01-01 00:00:00.42986,40.1399737,32.5442143,0.1089773999999999
68,1970-01-01 00:00:00.430264,40.1400074,32.5441654,0.1090839
68,1970-01-01 00:00:00.430865,40.140044,32.5440758,0.1092498
68,1970-01-01 00:00:00.431264,40.1400608,32.5440083,0.109335
68,1970-01-01 00:00:00.431864,40.1400642,32.5438964,0.109486
68,1970-01-01 00:00:00.432257,40.1400495,32.5438172,0.1095839
68,1970-01-01 00:00:00.432859,40.1400008,32.5436992,0.1097732999999999
68,1970-01-01 00:00:00.43326,40.1399561,32.543628,0.1098736
68,1970-01-01 00:00:00.433865,40.1398846,32.5435324,0.1099638999999999
68,1970-01-01 00:00:00.434263,40.1398381,32.5434735,0.1099819
68,1970-01-01 00:00:00.434866,40.1397731,32.5433907,0.1099305
68,1970-01-01 00:00:00.43526,40.1397356,32.5433381,0.1099064
68,1970-01-01 00:00:00.43587,40.1396902,32.543262,0.1099097
68,1970-01-01 00:00:00.436264,40.1396622,32.543213699999995,0.1098851
68,1970-01-01 00:00:00.436864,40.1396143,32.5431376,0.1099424
68,1970-01-01 00:00:00.437264,40.1395709,32.543087199999995,0.1101439999999999
68,1970-01-01 00:00:00.437868,40.1394968,32.5430111,0.110388
68,1970-01-01 00:00:00.438264,40.1394351,32.5429618,0.1104856999999999
68,1970-01-01 00:00:00.438865,40.1393153,32.5429083,0.1106027
68,1970-01-01 00:00:00.43927,40.1392176,32.5429024,0.1107021
68,1970-01-01 00:00:00.439875,40.1390641,32.5429622,0.1108798999999999
68,1970-01-01 00:00:00.440265,40.1389741,32.5430484,0.1110273
68,1970-01-01 00:00:00.440864,40.1388868,32.5432206,0.1112508
68,1970-01-01 00:00:00.441262,40.1388729,32.5433361,0.1114034999999999
68,1970-01-01 00:00:00.441865,40.1388987,32.5434756,0.1116107
68,1970-01-01 00:00:00.442264,40.1389289,32.5435501,0.1117162
68,1970-01-01 00:00:00.442862,40.1389806,32.5436406,0.1118453
68,1970-01-01 00:00:00.443261,40.1390186,32.543692,0.1119291999999999
68,1970-01-01 00:00:00.443865,40.1390767,32.5437636,0.1121163999999999
68,1970-01-01 00:00:00.444258,40.1391165,32.5438024,0.1122625
68,1970-01-01 00:00:00.444864,40.1391757,32.5438401,0.1125245999999999
68,1970-01-01 00:00:00.445265,40.1392144,32.5438546,0.1126828
68,1970-01-01 00:00:00.44586,40.1392697,32.5438593,0.1128291
68,1970-01-01 00:00:00.44626,40.1393042,32.5438513,0.1129269
68,1970-01-01 00:00:00.446863,40.139353,32.5438267,0.1130529
68,1970-01-01 00:00:00.447255,40.1393811,32.5438043,0.1131115999999999
68,1970-01-01 00:00:00.447862,40.1394154,32.5437722,0.1130664
68,1970-01-01 00:00:00.448262,40.1394357,32.543754799999995,0.1129589999999999
